toi,tid,tfopwg_disp,pl_orbper,pl_tranmid,toi_created,rowupdate,ra,dec,st_tmag,st_teff,st_rad
1407.01,69747919,KP,9.9783319,2459085.39112,2019-10-31 22:56:30,2024-09-07 10:08:02,336.576123,-18.011665,7.7275,6073.5,1.47131
1408.02,364186197,KP,2.2222094,2460479.047419,2024-09-24 23:11:45,2025-08-29 16:00:02,313.511047,72.580646,8.82374,6594.0,1.49
1419.01,311035838,KP,2.8997405,2459661.5681,2019-11-06 20:55:18,2022-07-14 10:10:02,206.094014,48.028565,10.7164,5224.0,0.82
1458.01,191284318,KP,2.7759678,2460610.063622,2019-12-05 16:42:06,2025-05-02 16:23:22,9.573034,42.463096,10.374,6140.0,1.24
1463.01,190998418,KP,2.8791023,2459856.144266,2019-12-05 16:42:06,2023-01-31 14:54:33,7.053937,42.061345,12.0401,5583.0,1.1145999
1465.01,236887394,KP,1.4200248,2459717.423096,2019-12-05 16:42:06,2023-03-15 16:02:02,303.38187,65.162331,11.8478,4910.0,0.77
1469.01,283722336,KP,3.0929386,2460606.251961,2019-12-05 16:42:06,2025-05-02 16:23:22,348.337203,57.169626,4.6278,4884.29,0.750598
1469.02,283722336,KP,6.7650398,2460599.497252,2019-12-05 16:42:06,2025-05-02 16:23:22,348.337203,57.169626,4.6278,4884.29,0.75
1476.01,432549364,KP,1.2174936,2460610.036941,2019-12-05 16:42:06,2025-05-02 16:23:22,0.362099,39.383795,10.2242,6596.04,1.46
1477.01,240681314,KP,2.7324809,2459855.931978,2019-12-05 19:37:03,2023-01-31 14:54:33,9.458744,51.288778,10.6496,6695.0,1.61271
1554.01,299158887,KP,9.4341589,2459444.896746,2019-12-06 22:17:30,2023-03-15 16:02:02,289.226288,49.548281,11.0579,5450.4,0.938168
1573.01,302773669,KP,21.216464,2460463.952965,2019-12-19 20:58:21,2024-08-29 10:08:02,42.436612,71.753088,7.6353,5925.0,1.55
