toi,tid,split,label,disposition,stage1_score,stage2_score
425.01,169532369,train,0,FP,0.3710910677909851,
4251.01,192520375,validation,0,FP,0.15430249273777008,0.17644933896690257
4255.01,82302240,validation,0,FP,0.4311445653438568,0.40249078556848994
4257.01,75208638,validation,0,FP,0.3505614697933197,0.27492570262925925
4261.01,74197917,validation,0,FP,0.1983528733253479,0.22148121619218944
4263.01,48276576,validation,0,FP,0.5959668755531311,0.7128784517243911
4265.01,118308828,validation,0,FP,0.6633663773536682,0.7577226216647245
4270.01,151920165,validation,1,CP,0.6303825974464417,0.5984235666957143
4275.01,363635669,validation,0,FP,0.31258612871170044,0.26722255700980296
4279.01,407146536,validation,0,FP,0.23328150808811188,0.23105080760067323
4281.01,384386061,validation,0,FP,0.6232708692550659,0.6442829506752636
4292.01,255918903,validation,0,FP,0.2525838017463684,0.19755690717564484
4294.01,30499203,validation,0,FP,0.6502989530563354,0.6126786206809899
4296.01,72668830,validation,0,FA,0.3889405131340027,0.6215317469693474
430.01,459942762,train,0,FP,0.478493869304657,
4306.01,44898913,validation,1,CP,0.363937109708786,0.3747014458234746
4308.01,144193715,validation,1,CP,0.50739586353302,0.6253610361166018
431.01,31374837,train,1,CP,0.5389877557754517,
431.02,31374837,train,1,CP,0.5389877557754517,
4311.01,122617317,validation,1,CP,0.6293798089027405,0.7362624508468586
4311.02,122617317,validation,1,CP,0.6293798089027405,0.7362624508468586
4312.01,251086776,validation,0,FA,0.49254900217056274,0.5032440405900921
4314.01,459952217,validation,0,FA,0.6971826553344727,0.7657384280116005
432.01,38686737,train,0,FP,0.4592285752296448,
4320.01,404518509,validation,1,CP,0.5907130837440491,0.6698313232589418
4320.02,404518509,validation,0,FA,0.5907130837440491,0.6698313232589418
4323.01,143022742,validation,0,FA,0.5607874989509583,0.48609020245667967
